Страны,ИРЧП,ВВП д/н,Население,Темп роста промышленности,Безработица (%),Ожидаемая продолжительность жизни,Кол-во действующих войск на тысячу граждан,Уровень смертности (на 1000 чел.)
Норвегия,0.94,52238.0,4943000.0,0.3,3.6,81.0,5.79,9.1
Австралия,0.94,39692.0,22696000.0,3.0,5.1,81.9,3.59,7.1
Новая Зеландия,0.91,27460.0,4427700.0,2.0,6.5,80.6,2.69,7.1
США,0.9,47123.0,311028000.0,3.3,9.7,79.6,4.76,8.2
Нидерланды,0.89,40777.0,16691100.0,3.2,5.5,80.3,3.24,8.6
Канада,0.89,39033.0,34514000.0,5.8,8.0,81.0,1.61,7.4
Швеция,0.89,37775.0,9349059.0,2.4,8.3,81.3,3.07,10.1
Германия,0.89,35930.0,81757600.0,9.0,7.4,80.2,3.45,10.7
Япония,0.88,33828.0,127960000.0,15.5,5.1,83.2,1.88,9.0
Швейцария,0.87,41765.0,7782900.0,2.4,3.9,82.2,0.47,8.1
Франция,0.87,34092.0,65447374.0,3.5,9.5,81.6,4.27,8.9
Израиль,0.87,29404.0,7695000.0,5.7,6.4,81.2,23.9,5.5
Финляндия,0.87,34401.0,5384400.0,6.0,8.4,80.1,5.17,9.7
Исландия,0.87,36681.0,317630.0,-1.0,8.3,82.1,2.12,6.2
Бельгия,0.87,36274.0,10827519.0,4.0,8.5,80.3,3.94,10.0
Дания,0.87,36764.0,5534738.0,4.0,4.2,78.7,4.24,10.3
Испания,0.86,29651.0,46072834.0,-2.0,20.0,81.3,3.49,8.8
Греция,0.86,28833.0,11306183.0,3.2,12.0,79.7,16.6,9.9
Италия,0.85,29418.0,60340328.0,0.5,8.4,81.4,3.42,10.5
Люксембург,0.85,80304.0,502207.0,1.7,5.5,79.9,1.92,8.7
Австрия,0.85,39454.0,8372930.0,7.0,4.5,80.4,4.23,9.4
Великобритания,0.85,35053.0,62041708.0,1.9,7.9,79.8,3.14,9.9
Сингапур,0.85,57238.0,4987600.0,25.0,2.1,80.7,16.4,5.3
Словения,0.83,27899.0,2076960.0,1.0,10.6,78.8,1.21,9.9
Словакия,0.82,22267.0,5424925.0,7.5,13.5,75.1,4.05,10.0
ОАЭ,0.82,36973.0,4599000.0,3.2,2.4,77.7,14.5,1.4
Эстония,0.81,18274.0,1340021.0,10.0,17.5,73.7,4.13,14.3
Венгрия,0.81,18815.0,10013628.0,11.0,10.7,73.9,3.31,13.2
Катар,0.8,88232.0,1409000.0,27.1,0.5,76.0,14.4,2.4
Португалия,0.8,23113.0,10636888.0,0.9,10.7,79.1,4.25,10.6
Польша,0.8,18837.0,38163895.0,6.5,11.8,76.0,4.22,10.0
Литва,0.78,16997.0,3329227.0,2.5,17.9,72.1,3.53,12.3
Чили,0.78,14982.0,17236000.0,3.2,8.7,78.8,4.75,5.4
Аргентина,0.78,15603.0,40134425.0,8.9,7.9,75.7,1.81,7.7
Латвия,0.77,14330.0,2245800.0,-1.8,14.3,73.0,2.13,13.6
Румыния,0.77,11766.0,21466174.0,1.5,8.2,73.2,4.31,12.4
Хорватия,0.77,17608.0,4435056.0,-0.9,17.6,76.7,6.63,12.1
Мексика,0.75,14266.0,112100000.0,6.0,5.6,76.7,1.82,4.8
Малайзия,0.74,14603.0,28306700.0,7.5,3.5,74.7,3.97,4.5
Болгария,0.74,12052.0,7563710.0,0.4,9.2,73.7,7.85,14.8
Тринидад и Тобаго,0.74,20137.0,1339000.0,2.5,6.4,69.9,2.48,8.1
Беларусь,0.73,13864.0,9467700.0,10.5,1.0,69.6,7.08,14.7
Перу,0.72,9281.0,29132013.0,8.5,7.9,73.7,3.58,6.1
Россия,0.72,15807.0,142905200.0,8.32,7.6,67.2,7.24,16.2
Казахстан,0.71,12401.0,16455000.0,7.3,5.5,65.4,4.33,10.1
Азербайджан,0.71,9953.0,9111000.0,3.5,0.9,70.8,8.1,7.6
Украина,0.71,6665.0,45760051.0,8.0,8.4,68.6,3.22,16.4
Бразилия,0.7,11289.0,194670000.0,11.5,7.0,72.9,1.55,6.3
Грузия,0.7,5057.0,4436400.0,4.0,16.4,72.0,2.74,11.8
Венесуэла,0.7,11889.0,29219000.0,-8.0,12.1,74.2,3.24,5.1
Армения,0.7,5178.0,3262200.0,8.0,7.1,74.2,10.3,9.6
Колумбия,0.69,9445.0,45955000.0,5.5,11.8,73.4,4.66,5.5
Турция,0.68,13392.0,73723000.0,6.0,12.4,72.2,7.03,5.9
Тонга,0.68,7134.0,104000.0,1.0,13.0,72.1,1.5,5.7
Китай,0.66,7518.0,1344210000.0,11.0,4.3,73.5,1.71,7.1
Египет,0.62,6367.0,79786000.0,5.5,9.7,70.5,5.81,5.6
Мальдивские острова,0.6,5483.0,309000.0,-0.9,14.5,72.3,2.67,5.7
Индонезия,0.6,4380.0,231369000.0,3.6,7.1,71.5,1.26,6.3
Марокко,0.57,4773.0,32140000.0,4.4,9.8,71.8,6.23,5.8
Индия,0.52,3290.0,1210868000.0,9.7,10.8,64.4,1.2,8.2
Пакистан,0.49,2789.0,172546500.0,4.9,5.5,67.2,3.72,7.1
Йемен,0.44,2595.0,23580000.0,9.0,38.0,63.9,3.22,7.4
