default,age,acadmos,adepcnt,majordrg,minordrg,ownrent,income,selfempl,incper,exp_inc,spending
0,37.6666679,54,3,0,0,1,3666.666667,0,11300,0.0332699,121.9896773
0,42.5,60,3,0,0,1,2000,0,17250,0.0484268,96.8536213
0,21.333334,8,0,0,0,0,2916.666667,0,35000,0.0165229,48.19167
0,20.833334,78,1,0,0,0,1750,0,11750,0.0313234,54.8159555
0,62.6666679,25,1,0,0,1,5250,0,36500,0.039269,206.1624667
0,20.333334,6,0,0,0,0,1833.333333,0,47000,0.0491421,90.0938977
0,31.75,20,3,0,0,0,2919.333333,0,8758,0.0100488,29.3358326
0,45.8333321,162,7,0,0,1,4916.666667,0,7375,0.0940781,462.5508475
0,22.666666,38,1,0,1,0,2361,0,14166,0.0233715,55.1799993
0,33.25,34,3,0,0,0,1666.666667,0,6050,0.0052169,8.6949036
0,23.75,34,0,0,0,0,1573.833333,0,18886,0.0034978,5.5050002
0,34.9166679,72,1,1,0,1,2333.333333,0,14000,0.0588668,137.355838
0,29.166666,61,2,0,0,1,5108.083333,0,20432.33398,0.0276514,141.2458331
1,26.416666,8,1,0,0,0,2416.666667,0,14500,0.0417586,100.9166632
0,33.6666679,58,4,0,1,1,3750,0,9000,0.0041556,15.583334
0,30.5,25,0,0,1,0,2116.666667,0,25400,0.0652138,138.035844
0,36.0833321,12,3,0,0,1,3333.333333,0,12100,0.0587909,195.9696909
0,37.75,54,4,0,0,1,3666.666667,0,8800,0.0355259,130.2616584
1,54.0833321,102,0,0,0,0,4166.666667,0,54800,0.0026642,11.1009732
0,42.4166679,128,0,0,1,1,1166.666667,0,54000,0.0079815,9.3117279
0,35.3333321,110,3,0,0,1,4000,0,12300,0.0154268,61.7073178
0,32.1666679,64,2,0,0,1,8155.583333,0,32622.33398,0.0670506,546.8366834
0,40.3333321,95,4,0,0,1,4333.333333,0,12460,0.0571438,247.6232139
0,44.3333321,60,0,0,0,1,1325,0,15900,0.1919522,254.3366633
0,21.666666,122,0,0,0,1,1200,0,20400,0.1710745,205.2894115
0,31.666666,12,0,0,0,0,3205.833333,0,38470,0.0717193,229.9200151
0,32.6666679,26,2,0,1,0,2900,0,11600,0.5039468,1461.445838
0,57.4166679,60,0,0,0,1,2166.666667,0,65805,0.0376952,81.672851
0,44.3333321,36,0,0,0,0,2000,0,24000,0.0179729,35.9458327
0,41.1666679,14,2,0,0,0,2666.666667,0,11166.66699,0.0105534,28.142487
0,30.833334,102,2,0,1,1,1550,0,6200,0.0600538,93.0833312
0,55.6666679,60,2,0,0,1,3600,0,14400,0.0326178,117.4241602
0,34.9166679,18,4,0,1,1,5908.333333,0,14180,0.0068519,40.4833334
0,47.8333321,73,1,0,0,1,4550,0,35300,0.026061,118.5777633
0,30.333334,18,1,2,0,0,2116.666667,0,32860,0.0242036,51.2309344
0,37.25,12,2,0,0,1,2291.666667,0,11333.33301,0.0261003,59.8131753
0,36.8333321,132,1,0,0,1,5416.666667,1,35500,0.0084331,45.6792857
0,24.416666,30,2,0,1,0,1500,0,6000,0.0278128,41.7191684
1,29.333334,31,1,0,0,0,2093.333333,0,12560,0.0483758,101.2666674
0,26.583334,6,2,0,0,0,1081.666667,0,6406.666504,0.0154735,16.7371308
0,20.166666,109,1,0,0,1,1600,0,9600,0.100725,161.1600041
0,23.25,54,0,0,0,0,2000,0,25000,0.0444384,88.8767987
0,28.833334,61,0,0,0,1,1666.666667,0,20000,0.0033,5.5
0,35.3333321,42,4,0,1,1,3333.333333,0,8000,0.042973,143.2433352
0,27.916666,7,2,0,0,0,2400,0,13200,0.0125758,30.1818185
0,41.5833321,48,3,1,0,1,3338.333333,0,13206.25,0.0414084,138.2351199
0,28.25,17,0,0,0,0,3166.666667,0,39000,0.0388344,122.9754717
0,27.333334,72,0,0,0,0,3000,1,44400,0.0453878,136.1635141
0,56.9166679,102,0,0,0,1,1250,0,90000,0.0219262,27.407778
0,34.8333321,40,0,1,0,0,2500,0,30000,0.0237303,59.3258301
0,30.5,3,0,0,0,1,6750,0,91000,0.0767034,517.7479964
0,24.5,6,0,0,0,0,2083.333333,0,26500,0.0764762,159.3254662
0,25.916666,36,0,0,0,1,2000,0,42000,0.0929871,185.974285
0,32.25,17,0,0,0,1,2083.333333,0,49000,0.0529747,110.3639447
0,32.9166679,12,3,0,0,1,2387.5,0,7162.5,0.0993843,237.2800172
0,38.6666679,129,0,0,0,1,1348.5,0,16182,0.1465962,197.6850069
0,46.3333321,6,0,0,0,1,3083.333333,0,37000,0.0369286,113.8633375
0,38.4166679,60,1,0,1,1,4583.333333,0,27500,0.027826,127.5358334
0,41.6666679,120,3,0,0,1,3291.666667,0,9875,0.0235582,77.5458378
0,24.583334,96,0,0,0,0,1666.666667,1,25000,0.0058,9.6666665
0,26.833334,4,1,0,0,1,3500,0,21000,0.1487871,520.754993
0,30.75,36,2,0,0,1,3166.666667,0,12666.66699,0.0252295,79.893336
0,36.75,14,1,0,0,0,1833.333333,0,12500,0.0753976,138.2289256
1,27,8,0,0,0,0,1533.333333,0,18400,0.0558087,85.5733352
0,27.666666,16,1,0,0,0,1650,0,23900,0.0953847,157.3848076
1,28.416666,19,2,0,0,1,1950,0,7800,0.0234594,45.7458319
0,29.166666,77,0,0,0,1,1375,0,23700,0.0764338,105.0964138
0,37,97,0,0,0,1,3000,0,38000,0.2456279,736.883685
1,34.4166679,84,0,1,4,1,4383.333333,0,52600,0.0312357,136.9166667
0,28.416666,65,0,0,0,0,2666.666667,0,32000,0.01978,52.7466685
0,30.5,24,1,0,1,1,3291.666667,0,19750,0.0780246,256.8308391
0,40.25,60,4,0,0,1,8333.25,0,25199.80078,0.0548893,457.406468
0,27.25,43,1,0,0,1,916.6666667,0,9100,0.4330874,396.9967638
0,25.916666,54,0,1,1,1,1918,0,23016,0.169264,324.6483304
0,47.75,108,2,0,0,1,3666.666667,0,14666.66699,0.1006695,369.1216757
0,41.25,60,2,0,0,1,3000,0,12000,0.0200289,60.0866675
0,31.25,17,0,0,0,0,2275,0,28300,0.0849247,193.2037724
0,26,22,0,0,0,0,1404.25,0,16851,0.0738158,103.6558375
0,22.333334,2,0,0,0,0,2383.333333,0,28600,0.0309584,73.7841625
0,25.833334,13,0,0,0,0,1200,0,32400,0.319034,382.8407407
0,28.083334,26,0,0,0,0,2375,0,28500,0.0814186,193.369166
0,40.6666679,124,2,0,0,1,2500,1,15000,0.0100753,25.1883315
0,28.166666,59,1,0,0,1,1858.333333,0,14150,0.0292813,54.4143631
0,45.1666679,42,1,0,0,1,4000,0,26500,0.0561251,224.500373
0,23.083334,12,0,0,0,0,2000,0,24000,0.0260075,52.0149991
0,35.3333321,72,2,0,0,1,2916.666667,0,11666.66699,0.0796386,232.2791641
0,25,10,0,0,0,0,2250,0,27000,0.1127041,253.5841707
0,23,5,0,0,0,0,2583.333333,0,31000,0.067951,175.5399903
0,31.25,54,2,0,0,1,4000,0,16000,0.058096,232.3841751
0,64.5833359,360,2,0,0,1,8333.25,1,33333,0.0795518,662.9249843
0,38.5833321,24,1,0,0,1,5000,0,30000,0.0202707,101.3533305
0,25.5,18,1,0,0,0,1166.666667,0,17000,0.0356559,41.5985292
0,43.25,118,4,0,1,1,3333.333333,0,9000,0.0002667,0.8888889
1,34.0833321,82,3,0,0,1,1416.666667,0,5750,0.0056957,8.0688406
0,40.5833321,36,0,0,0,1,3000,0,42000,0.042216,126.6478524
0,29.583334,60,3,0,0,1,2860,0,15330,0.0466937,133.5440923
0,23.333334,279,3,0,0,1,1600,0,4800,0.1600073,256.0116768
0,28.833334,26,0,0,0,1,2000,0,24500,0.0387955,77.5910243
0,35.3333321,120,2,0,0,1,1590,0,6360,0.0269067,42.7816661
0,25.166666,14,0,0,0,0,583.3333333,0,15500,0.060669,35.3902681
0,26.333334,24,0,0,0,1,866.6666667,0,18720,0.1779535,154.2263895
0,39.0833321,24,0,0,0,1,2666.666667,0,32000,0.0238228,63.5274996
0,24.5,12,0,0,0,1,1750,0,21000,0.2057905,360.1333313
0,46.9166679,20,3,0,0,1,3750,0,13812.5,0.1270757,476.5337147
0,41.25,17,2,0,0,1,4271.166667,0,20664.66602,0.0421233,179.9155037
1,32.75,18,2,0,0,0,2500,0,11041.66699,0.0519254,129.8135892
0,45.8333321,18,3,0,0,1,5181.416667,0,15544.25,0.0375029,194.3183429
0,30,42,0,0,0,0,2083.333333,0,26000,0.1065946,222.0721139
0,29.166666,6,0,0,0,0,1800,0,33900,0.0202853,36.5134511
0,45.8333321,12,2,0,0,1,4583.333333,0,18333.33398,0.0445798,204.3241697
0,41.1666679,168,1,0,0,1,2666.666667,0,16000,0.1258194,335.5183601
0,43.0833321,162,3,0,0,1,3000,0,9000,0.0751664,225.499168
0,43.1666679,94,0,0,0,1,2916.666667,0,35000,0.0018857,5.4999999
0,24.75,12,0,0,0,1,2500,0,33600,0.0155937,38.9843737
0,45.9166679,16,2,0,0,0,2083.333333,1,8333.333008,0.00132,2.7500001
0,37.1666679,24,2,0,0,1,2500,1,10000,0.100061,250.1524985
0,40.0833321,96,2,0,0,1,3333.333333,0,13333.33301,0.0748158,249.3858337
0,0,216,1,0,0,1,2250,0,15972,0.0053844,12.1149514
0,35.0833321,7,3,0,0,1,2549.083333,0,7647.25,0.0248861,63.4366658
0,29,60,1,0,0,0,2083.333333,0,14300,0.0676133,140.8610183
